Year,Value,GeoCode
2009,61152,
2010,70063,
2011,74037,
2012,81151,
2013,81773,
2014,76491,
2015,69572,
2016,64791,
2017,60300,
2018,55867,
2019,53321,
2020,62663,
2009,1876,1.0
2010,2197,1.0
2011,2344,1.0
2012,2619,1.0
2013,2643,1.0
2014,2472,1.0
2015,2336,1.0
2016,2117,1.0
2017,1959,1.0
2018,1827,1.0
2019,1256,1.0
2020,1577,1.0
2009,3107,2.0
2010,3569,2.0
2011,3733,2.0
2012,4101,2.0
2013,4129,2.0
2014,3850,2.0
2015,3613,2.0
2016,3422,2.0
2017,3224,2.0
2018,2948,2.0
2019,1902,2.0
2020,2326,2.0
2009,3381,3.0
2010,3923,3.0
2011,4149,3.0
2012,4651,3.0
2013,4671,3.0
2014,4381,3.0
2015,4045,3.0
2016,3661,3.0
2017,3405,3.0
2018,3147,3.0
2019,2667,3.0
2020,3136,3.0
2009,2646,4.0
2010,3068,4.0
2011,3313,4.0
2012,3677,4.0
2013,3710,4.0
2014,3493,4.0
2015,3127,4.0
2016,2869,4.0
2017,2659,4.0
2018,2452,4.0
2019,1984,4.0
2020,2377,4.0
2009,3489,5.0
2010,3989,5.0
2011,4123,5.0
2012,4401,5.0
2013,4419,5.0
2014,4113,5.0
2015,3716,5.0
2016,3464,5.0
2017,3213,5.0
2018,3009,5.0
2019,3245,5.0
2020,3829,5.0
2009,2009,6.0
2010,2280,6.0
2011,2431,6.0
2012,2641,6.0
2013,2649,6.0
2014,2440,6.0
2015,2216,6.0
2016,2076,6.0
2017,1936,6.0
2018,1800,6.0
2019,1242,6.0
2020,1467,6.0
2009,3749,7.0
2010,4271,7.0
2011,4427,7.0
2012,4909,7.0
2013,4955,7.0
2014,4662,7.0
2015,4157,7.0
2016,3829,7.0
2017,3548,7.0
2018,3288,7.0
2019,3732,7.0
2020,4338,7.0
2009,4678,8.0
2010,5339,8.0
2011,5609,8.0
2012,6246,8.0
2013,6367,8.0
2014,5965,8.0
2015,5401,8.0
2016,4954,8.0
2017,4546,8.0
2018,4236,8.0
2019,3703,8.0
2020,4315,8.0
2009,3916,9.0
2010,4502,9.0
2011,4742,9.0
2012,5271,9.0
2013,5278,9.0
2014,4882,9.0
2015,4718,9.0
2016,4178,9.0
2017,3857,9.0
2018,3585,9.0
2019,3863,9.0
2020,4476,9.0
2009,5660,10.0
2010,6441,10.0
2011,6747,10.0
2012,7349,10.0
2013,7422,10.0
2014,6956,10.0
2015,6487,10.0
2016,6187,10.0
2017,5826,10.0
2018,5302,10.0
2019,5697,10.0
2020,6575,10.0
2009,4886,11.0
2010,5628,11.0
2011,5991,11.0
2012,6502,11.0
2013,6532,11.0
2014,6092,11.0
2015,5600,11.0
2016,5229,11.0
2017,4865,11.0
2018,4503,11.0
2019,5085,11.0
2020,5898,11.0
2009,4963,12.0
2010,5713,12.0
2011,6105,12.0
2012,6650,12.0
2013,6729,12.0
2014,6302,12.0
2015,5835,12.0
2016,5513,12.0
2017,5164,12.0
2018,4773,12.0
2019,4334,12.0
2020,5105,12.0
2009,2701,13.0
2010,3039,13.0
2011,3257,13.0
2012,3501,13.0
2013,3467,13.0
2014,3193,13.0
2015,2896,13.0
2016,2689,13.0
2017,2474,13.0
2018,2291,13.0
2019,2190,13.0
2020,2620,13.0
2009,2274,14.0
2010,2606,14.0
2011,2709,14.0
2012,2866,14.0
2013,2890,14.0
2014,2707,14.0
2015,2441,14.0
2016,2264,14.0
2017,2074,14.0
2018,1939,14.0
2019,1698,14.0
2020,2027,14.0
2009,4678,15.0
2010,5294,15.0
2011,5555,15.0
2012,6039,15.0
2013,6045,15.0
2014,5677,15.0
2015,5217,15.0
2016,4869,15.0
2017,4572,15.0
2018,4292,15.0
2019,4261,15.0
2020,4966,15.0
2009,3715,16.0
2010,4273,16.0
2011,4576,16.0
2012,5046,16.0
2013,5082,16.0
2014,4800,16.0
2015,4384,16.0
2016,4067,16.0
2017,3809,16.0
2018,3549,16.0
2019,3369,16.0
2020,3874,16.0
2009,541,17.0
2010,622,17.0
2011,658,17.0
2012,719,17.0
2013,732,17.0
2014,696,17.0
2015,644,17.0
2016,603,17.0
2017,561,17.0
2018,524,17.0
2019,319,17.0
2020,380,17.0
2009,1367,18.0
2010,1561,18.0
2011,1690,18.0
2012,1885,18.0
2013,1968,18.0
2014,1881,18.0
2015,927,18.0
2016,1114,18.0
2017,1027,18.0
2018,952,18.0
2019,1164,18.0
2020,1351,18.0
2009,1517,19.0
2010,1749,19.0
2011,1879,19.0
2012,2078,19.0
2013,2085,19.0
2014,1931,19.0
2015,1811,19.0
2016,1687,19.0
2017,1580,19.0
2018,1448,19.0
2019,1387,19.0
2020,1633,19.0
